"lagoslakeid","lake_maxdepth_m","maxdepth_true_true","maxdepth_true_false","maxdepth_false_true","maxdepth_false_false","inlake_slope","slope_mean","dist_deepest","dist_viscenter","reservoir_class","shape_class","lake_perimeter_m","lake_islandarea_ha","lake_elevation_m","lake_waterarea_ha","lake_shorelinedevfactor","ws_lake_arearatio","hu4_zoneid"
"5969",12.1914050594331,27.8506399337,30.7897359175006,7.696980472127,8.50924778256848,0.23979274222159,0.0687668128082598,116.144632550903,184.842005587532,"Res","convex",2741.5,0,394.8,31.839,1.371,5.06,"hu4_7"
"5983",12.1914050594331,32.9174926598091,19.1758033364968,13.2841971325919,7.7385952305188,0.386710320301205,0.162218009136569,85.1218365058631,85.6526761651048,"NL","convex",1197.7,0,39.8,6.628,1.312,4.544,"hu4_8"
"6239",12.1914050594331,51.21034793307,38.2184293049906,19.4483118569097,14.5143308297018,0.173234158637263,0.068266222044767,295.613453697085,300.89705172326,"NL","convex",2936.8,0,134.3,51.047,1.16,6.482,"hu4_8"
"6343",12.1914050594331,52.0669327608048,53.5679208141399,10.894135503012,11.2081921676624,0.29447019541715,0.0639192283936421,176.815628783912,252.187046713553,"NL","convex",2144.7,0,289.9,24.328,1.227,45.059,"hu4_30"
"783",12.1914052963257,18.2883384600467,16.4773282023554,64.4893008384371,58.1032212290242,0.0903892513636188,0.331524807707816,202.328686034539,252.665441983548,"Res","convex",29938.8,0,284.5,283.124,5.019,122.028,"hu4_55"
"71058",9.38757038116455,8.33796296895734,27.5832709061249,5.8775383131015,19.443805657928,0.0880221231147032,0.0643719326791129,94.7257652271349,417.624896659224,"Res","convex",5782.6,0,358.6,101.536,1.619,67.703,"hu4_25"
"2743",18.6212253570557,37.3403686233617,29.5771480340268,157.593719636652,124.82931869103,0.0375958610804553,0.16493550224909,993.204239781959,1013.3381217669,"Res","convex",34495.8,0,401.9,1709.307,2.354,1.992,"hu4_54"
"84155",9.14355379457482,35.8507189802865,31.0359356789484,13.9634696531442,12.0881633154479,0.245509789770456,0.0993163360671104,146.025618830947,182.341078662704,"Res","convex",2604.1,0.097,514.9,20.635,1.617,10.336,"hu4_7"
"2981",14.5406341552734,23.3117970714576,19.7497014880592,3.32470861337841,2.81668557974013,0.104456682686442,0.0152991346856398,223.171906975401,261.19532761747,"NL","convex",5013.7,0,295.4,71.041,1.678,6.163,"hu4_25"
"8360",19.8120002746582,16.5224155903722,16.9377299377673,7.12570366331486,7.30481833032429,0.13748553796939,0.0615057828278411,120.175662359853,178.291421593662,"NL","convex",3425.8,0,295.8,40.078,1.527,101.955,"hu4_2"
"6275",19.8110332215788,64.4267396339874,72.8778660253456,60.2799306064978,68.1871026178697,0.409185822890443,0.398252153719626,157.451055314879,247.394229083969,"NL","convex",5043.1,0,366.6,79.624,1.594,13.619,"hu4_7"
"3819",13.7153310775757,18.3152391774534,17.2524749077324,16.3213073985974,15.3742434716509,0.0362808120110313,0.0334434136816103,504.818888063602,621.704340051879,"NL","concave",7656.7,0,348.5,239.425,1.396,2.322,"hu4_25"
"81822",8.34200668334961,18.6656034977919,16.0698589666704,7.50911640088691,6.46485614787859,0.0316670236208127,0.0130531770644521,589.433466223336,661.898048788184,"NL","concave",8174.3,0,440.5,445.757,1.092,3.995,"hu4_54"
"7195",6.7052727826882,26.4835581272014,42.5924245099951,26.6090057633795,42.7941768179067,0.228537089939461,0.238775739573881,115.882976081549,257.796228734343,"Res","convex",18510,1.756,29.3,124.982,4.671,462.992,"hu4_11"
